Data,Ticker,Livello,Valore Livello,Nota,Prezzo al momento
2026-07-06 15:00 UTC,TMO,3,505.0,,513.205
2026-07-06 15:00 UTC,ODD,1,17.01,,17.24
2026-07-06 15:00 UTC,DLO,1,14.67,,14.655
2026-07-06 15:00 UTC,MANH,3,150.0,,152.25
2026-07-06 15:00 UTC,GBPJPY,1,215.4,,216.833
2026-07-06 15:00 UTC,GBPJPY,2,215.271,,216.833
2026-07-06 15:00 UTC,GBPJPY,3,215.05,,216.833
2026-07-06 15:00 UTC,SPCX,3,160.36,,161.4394
2026-07-06 15:00 UTC,TEVA,1,34.54,,35.1199
2026-07-06 15:00 UTC,TEVA,2,35.2,,35.1199
2026-07-06 15:00 UTC,T,2,20.6,,20.325
2026-07-06 15:00 UTC,SGI,2,78.43,,77.46
2026-07-06 15:00 UTC,FAST,1,46.79,,47.56
2026-07-06 15:00 UTC,WFC,1,86.39,,87.305
2026-07-06 19:40 UTC,ODD,1,17.01,,17.305
2026-07-06 19:40 UTC,GBPJPY,1,215.4,,217.027
2026-07-06 19:40 UTC,GBPJPY,2,215.271,,217.027
2026-07-06 19:40 UTC,GBPJPY,3,215.05,,217.027
2026-07-06 19:40 UTC,TEVA,2,35.2,,35.325
2026-07-06 19:40 UTC,T,2,20.6,,20.56
2026-07-06 19:40 UTC,SGI,2,78.43,,78.0894
2026-07-06 19:40 UTC,WFC,1,86.39,,87.6295
2026-07-06 21:15 UTC,SPCX,3,160.36,,160.42
2026-07-06 23:48 UTC,ODD,1,17.01,,17.35
2026-07-06 23:48 UTC,GBPJPY,1,215.4,,217.102
2026-07-06 23:48 UTC,GBPJPY,2,215.271,,217.102
2026-07-06 23:48 UTC,GBPJPY,3,215.05,,217.102
2026-07-06 23:48 UTC,TEVA,2,35.2,,35.29
2026-07-06 23:48 UTC,T,2,20.6,,20.58
2026-07-06 23:48 UTC,SGI,2,78.43,,78.2
2026-07-06 23:48 UTC,WFC,1,86.39,,87.45
2026-07-07 01:30 UTC,SPCX,3,160.36,,160.42
2026-07-07 05:49 UTC,ODD,1,17.01,,17.35
2026-07-07 05:49 UTC,GBPJPY,1,215.4,,216.538
2026-07-07 05:49 UTC,GBPJPY,2,215.271,,216.538
2026-07-07 05:49 UTC,GBPJPY,3,215.05,,216.538
2026-07-07 05:49 UTC,SPCX,3,160.36,,160.42
2026-07-07 05:49 UTC,TEVA,2,35.2,,35.29
2026-07-07 05:49 UTC,T,2,20.6,,20.58
2026-07-07 05:49 UTC,SGI,2,78.43,,78.2
2026-07-07 05:49 UTC,WFC,1,86.39,,87.45
2026-07-07 12:14 UTC,ODD,1,17.01,,17.35
2026-07-07 12:14 UTC,GBPJPY,1,215.4,,216.706
2026-07-07 12:14 UTC,GBPJPY,2,215.271,,216.706
2026-07-07 12:14 UTC,GBPJPY,3,215.05,,216.706
2026-07-07 12:14 UTC,SPCX,3,160.36,,160.42
2026-07-07 12:14 UTC,TEVA,2,35.2,,35.29
2026-07-07 12:14 UTC,T,2,20.6,,20.58
2026-07-07 12:14 UTC,SGI,2,78.43,,78.2
2026-07-07 12:14 UTC,WFC,1,86.39,,87.45
2026-07-07 15:20 UTC,MDT,2,85.5,,84.52
2026-07-07 15:20 UTC,TEVA,1,34.54,,34.705
2026-07-07 15:20 UTC,TEVA,3,34.25,,34.705
2026-07-07 15:20 UTC,FAST,1,46.79,,47.415
2026-07-07 17:31 UTC,TMO,3,505.0,,514.3
2026-07-07 17:31 UTC,GBPJPY,1,215.4,,216.522
2026-07-07 17:31 UTC,GBPJPY,2,215.271,,216.522
2026-07-07 17:31 UTC,GBPJPY,3,215.05,,216.522
2026-07-07 17:31 UTC,TEVA,2,35.2,,34.7
2026-07-07 17:31 UTC,T,2,20.6,,20.995
2026-07-07 17:31 UTC,WFC,1,86.39,,87.23
2026-07-07 19:24 UTC,MDT,2,85.5,,84.03
2026-07-07 19:24 UTC,TEVA,1,34.54,,34.765
2026-07-07 19:24 UTC,TEVA,3,34.25,,34.765
2026-07-07 19:24 UTC,SGI,3,73.43,,74.6
2026-07-07 19:24 UTC,FAST,1,46.79,,47.305
2026-07-07 19:24 UTC,WFC,2,85.51,,87.2
2026-07-07 21:06 UTC,FTK,1,22.74,,22.4
2026-07-07 21:06 UTC,CDW,2,142.0,,139.23
2026-07-07 21:06 UTC,DLO,1,14.67,,14.88
2026-07-07 22:30 UTC,GBPJPY,1,215.4,,216.44
2026-07-07 22:30 UTC,GBPJPY,2,215.271,,216.44
2026-07-07 22:30 UTC,GBPJPY,3,215.05,,216.44
2026-07-07 22:30 UTC,TEVA,2,35.2,,34.65
2026-07-07 22:30 UTC,WFC,1,86.39,,87.18
2026-07-07 23:32 UTC,MDT,2,85.5,,83.83
2026-07-07 23:32 UTC,TEVA,1,34.54,,34.65
2026-07-07 23:32 UTC,TEVA,3,34.25,,34.65
2026-07-07 23:32 UTC,SGI,3,73.43,,74.82
2026-07-07 23:32 UTC,FAST,1,46.79,,47.11
2026-07-07 23:32 UTC,WFC,2,85.51,,87.18
2026-07-08 01:08 UTC,FTK,1,22.74,,22.4
2026-07-08 01:08 UTC,CDW,2,142.0,,139.23
2026-07-08 01:08 UTC,DLO,1,14.67,,14.88
2026-07-08 04:32 UTC,MDT,2,85.5,,83.83
2026-07-08 04:32 UTC,GBPJPY,1,215.4,,216.82
2026-07-08 04:32 UTC,GBPJPY,2,215.271,,216.82
2026-07-08 04:32 UTC,GBPJPY,3,215.05,,216.82
2026-07-08 04:32 UTC,TEVA,1,34.54,,34.65
2026-07-08 04:32 UTC,TEVA,2,35.2,,34.65
2026-07-08 04:32 UTC,TEVA,3,34.25,,34.65
2026-07-08 04:32 UTC,SGI,3,73.43,,74.82
2026-07-08 04:32 UTC,FAST,1,46.79,,47.11
2026-07-08 04:32 UTC,WFC,1,86.39,,87.18
2026-07-08 04:32 UTC,WFC,2,85.51,,87.18
2026-07-08 07:12 UTC,DLO,1,14.67,,14.88
2026-07-08 09:40 UTC,FTK,1,22.74,,22.4
2026-07-08 09:40 UTC,CDW,2,142.0,,139.23
2026-07-08 09:40 UTC,MDT,2,85.5,,83.83
2026-07-08 09:40 UTC,GBPJPY,1,215.4,,216.726
2026-07-08 09:40 UTC,GBPJPY,2,215.271,,216.726
2026-07-08 09:40 UTC,GBPJPY,3,215.05,,216.726
2026-07-08 09:40 UTC,TEVA,1,34.54,,34.65
2026-07-08 09:40 UTC,TEVA,2,35.2,,34.65
2026-07-08 09:40 UTC,TEVA,3,34.25,,34.65
2026-07-08 09:40 UTC,SGI,3,73.43,,74.82
2026-07-08 09:40 UTC,FAST,1,46.79,,47.11
2026-07-08 09:40 UTC,WFC,1,86.39,,87.18
2026-07-08 09:40 UTC,WFC,2,85.51,,87.18
2026-07-08 09:40 UTC,GLBE,1,36.85,,36.92
2026-07-08 09:40 UTC,DCI,1,89.36,,89.54
2026-07-08 09:40 UTC,VIV,1,13.5,,13.28
2026-07-08 09:40 UTC,VIV,2,13.3,,13.28
2026-07-08 09:40 UTC,VIV,3,13.26,,13.28
2026-07-08 09:40 UTC,INTC,1,111.56,,110.39
2026-07-08 09:40 UTC,INTC,2,112.5,,110.39
2026-07-08 11:31 UTC,DLO,1,14.67,,14.88
2026-07-08 15:37 UTC,FTK,1,22.74,,22.585
2026-07-08 15:37 UTC,TMO,3,505.0,,511.36
2026-07-08 15:37 UTC,GBPJPY,1,215.4,,217.343
2026-07-08 15:37 UTC,GBPJPY,2,215.271,,217.343
2026-07-08 15:37 UTC,GBPJPY,3,215.05,,217.343
2026-07-08 15:37 UTC,SGI,3,73.43,,72.09
2026-07-08 15:37 UTC,FAST,1,46.79,,46.43
2026-07-08 15:38 UTC,WFC,1,86.39,,85.46
2026-07-08 15:38 UTC,WFC,2,85.51,,85.46
2026-07-08 15:38 UTC,VIV,1,13.5,,13.35
2026-07-08 15:38 UTC,VIV,2,13.3,,13.35
2026-07-08 15:38 UTC,VIV,3,13.26,,13.35
2026-07-08 15:38 UTC,INTC,3,107.5,,105.3999
2026-07-08 17:08 UTC,VRTX,2,500.0,,509.035
2026-07-08 17:08 UTC,DCI,1,89.36,,87.685
2026-07-08 18:45 UTC,ODD,2,16.0,,16.305
2026-07-08 18:45 UTC,DLO,1,14.67,,14.52
2026-07-08 18:45 UTC,GLBE,1,36.85,,36.14
2026-07-08 20:14 UTC,FTK,1,22.74,,23.06
2026-07-08 20:14 UTC,TMO,3,505.0,,509.87
2026-07-08 20:14 UTC,VRTX,1,496.73,,498.43
2026-07-08 20:14 UTC,GBPJPY,1,215.4,,217.73
2026-07-08 20:14 UTC,GBPJPY,2,215.271,,217.73
2026-07-08 20:14 UTC,GBPJPY,3,215.05,,217.73
2026-07-08 20:14 UTC,SGI,3,73.43,,73.21
2026-07-08 20:14 UTC,FAST,1,46.79,,46.51
2026-07-08 20:14 UTC,WFC,1,86.39,,85.57
2026-07-08 20:14 UTC,WFC,2,85.51,,85.57
2026-07-08 20:14 UTC,VIV,1,13.5,,13.283
2026-07-08 20:14 UTC,VIV,2,13.3,,13.283
2026-07-08 20:14 UTC,VIV,3,13.26,,13.283
2026-07-08 20:14 UTC,INTC,1,111.56,,110.24
2026-07-08 21:34 UTC,VRTX,2,500.0,,498.43
2026-07-08 21:34 UTC,DCI,1,89.36,,87.68
2026-07-08 23:48 UTC,DLO,1,14.67,,14.49
2026-07-09 01:22 UTC,FTK,1,22.74,,23.09
2026-07-09 01:22 UTC,TMO,3,505.0,,510.13
2026-07-09 01:22 UTC,VRTX,1,496.73,,498.43
2026-07-09 01:22 UTC,GBPJPY,1,215.4,,217.662
2026-07-09 01:22 UTC,GBPJPY,2,215.271,,217.662
2026-07-09 01:22 UTC,GBPJPY,3,215.05,,217.662
2026-07-09 01:22 UTC,SGI,3,73.43,,73.18
2026-07-09 01:22 UTC,FAST,1,46.79,,46.51
2026-07-09 01:22 UTC,WFC,1,86.39,,85.56
2026-07-09 01:22 UTC,WFC,2,85.51,,85.56
2026-07-09 01:22 UTC,VIV,1,13.5,,13.29
2026-07-09 01:22 UTC,VIV,2,13.3,,13.29
2026-07-09 01:23 UTC,VIV,3,13.26,,13.29
2026-07-09 01:23 UTC,INTC,1,111.56,,110.24
2026-07-09 05:47 UTC,FTK,1,22.74,,23.09
2026-07-09 05:47 UTC,TMO,3,505.0,,510.13
2026-07-09 05:47 UTC,VRTX,1,496.73,,498.43
2026-07-09 05:47 UTC,VRTX,2,500.0,,498.43
2026-07-09 05:47 UTC,DLO,1,14.67,,14.49
2026-07-09 05:47 UTC,GBPJPY,1,215.4,,217.651
2026-07-09 05:47 UTC,GBPJPY,2,215.271,,217.651
2026-07-09 05:47 UTC,GBPJPY,3,215.05,,217.651
2026-07-09 05:47 UTC,SGI,3,73.43,,73.18
2026-07-09 05:47 UTC,FAST,1,46.79,,46.51
2026-07-09 05:47 UTC,WFC,1,86.39,,85.56
2026-07-09 05:47 UTC,WFC,2,85.51,,85.56
2026-07-09 05:47 UTC,DCI,1,89.36,,87.68
2026-07-09 05:47 UTC,VIV,1,13.5,,13.29
2026-07-09 05:47 UTC,VIV,2,13.3,,13.29
2026-07-09 05:47 UTC,VIV,3,13.26,,13.29
2026-07-09 05:47 UTC,INTC,1,111.56,,110.24
2026-07-09 15:34 UTC,RIVN,1,18.0,,17.77
2026-07-09 15:34 UTC,CRSP,2,56.11,,56.99
2026-07-09 15:34 UTC,PATH,2,11.92,,11.685
2026-07-09 15:34 UTC,INTC,2,112.5,,112.66
2026-07-09 15:34 UTC,IONQ,1,45.18,,45.29
2026-07-09 15:34 UTC,CHRW,2,194.5,,193.86
2026-07-10 15:19 UTC,META,2,680.0,,673.31
2026-07-10 15:19 UTC,TFC,1,52.0,,51.715
2026-07-10 15:19 UTC,UGP,1,6.0,,5.9799
2026-07-10 15:19 UTC,CBRS,1,216.0,,212.355
2026-07-10 17:14 UTC,CRSP,3,54.11,,53.235
2026-07-13 10:01 UTC,TMUS,1,185.0,,187.61
2026-07-13 15:36 UTC,RHI,2,34.0,,34.29
2026-07-13 15:36 UTC,TMUS,3,192.0,,189.54
2026-07-13 17:36 UTC,BARK,3,9.0,,9.175
2026-07-13 20:24 UTC,RHI,1,36.0,,35.59
2026-07-14 11:57 UTC,DG,2,125.0,,123.44
2026-07-14 11:57 UTC,CI,3,310.0,,304.5
2026-07-14 11:57 UTC,HUN,1,11.6,,11.61
2026-07-14 14:05 UTC,ODD,2,16.0,,16.25
2026-07-14 14:05 UTC,DG,1,120.0,,121.37
2026-07-15 07:56 UTC,WDC,2,560.0,,563.32
2026-07-15 07:56 UTC,VIST,1,67.0,,65.73
2026-07-15 14:19 UTC,TSCO,1,31.53,,30.995
2026-07-15 14:19 UTC,WDC,1,530.0,,525.125
2026-07-15 14:19 UTC,HPE,1,50.0,,49.08
2026-07-15 14:19 UTC,HPE,3,49.0,,49.08
2026-07-15 14:19 UTC,BX,2,127.0,,129.3
2026-07-15 14:19 UTC,NVDA,1,213.0,,211.701
2026-07-15 14:19 UTC,NVDA,2,208.0,,211.701
2026-07-15 15:58 UTC,LOVE,1,18.0,,18.08
2026-07-15 15:58 UTC,J,1,129.26,,130.66
2026-07-15 15:58 UTC,XYZ,1,85.0,,83.425
2026-07-15 15:58 UTC,EFX,1,176.0,,172.99
2026-07-15 15:58 UTC,EFX,2,172.5,,172.99
2026-07-15 15:58 UTC,COF,1,210.0,,209.48
2026-07-15 18:41 UTC,CVNA,1,72.0,,70.76
2026-07-16 08:33 UTC,GOOGL,1,373.0,,370.92
2026-07-16 14:21 UTC,MDT,2,85.5,,84.3025
2026-07-16 14:21 UTC,IONQ,3,36.0,,36.12
2026-07-16 14:21 UTC,UGP,3,6.3,,6.19
2026-07-16 14:21 UTC,WPP,1,19.0,,19.35
2026-07-16 14:21 UTC,GIS,1,38.0,,38.56
2026-07-16 14:21 UTC,ITW,1,276.0,,279.51
2026-07-16 14:21 UTC,IDXX,2,580.0,,575.16
2026-07-16 14:21 UTC,BDX,1,160.0,,159.32
2026-07-16 14:21 UTC,SNN,1,31.2,,31.255
2026-07-16 17:19 UTC,CDW,1,134.81,,133.18
2026-07-16 17:19 UTC,CI,1,290.0,,286.09
2026-07-16 18:37 UTC,GOOGL,2,355.55,,359.2798
2026-07-16 19:46 UTC,VIST,2,62.0,,62.7
2026-07-17 07:00 UTC,CAG,2,14.5,,14.47
2026-07-17 07:00 UTC,STE,1,220.0,,221.13
2026-07-17 14:09 UTC,DNA,3,8.0,,7.87
2026-07-17 14:10 UTC,META,1,640.0,,634.59
2026-07-17 14:10 UTC,BLK,1,1060.0,,1077.425
2026-07-17 14:10 UTC,GOOGL,3,340.0,,346.6301
2026-07-17 14:10 UTC,IDXX,1,557.8,,568.86
2026-07-17 15:42 UTC,BARK,3,9.0,,9.17
2026-07-17 15:42 UTC,ODD,2,16.0,,16.07
2026-07-17 15:42 UTC,SNN,2,30.5,,30.83
2026-07-17 15:42 UTC,LCID,1,7.0,nan,6.95
